used_years,price
2.65,175
3.8,63
0.95,273
4.5,133
4.45,106
2.7,115
3.05,177
2.25,248
2.3,198
1.85,219
1.5,163
0.95,290
2.6,162
0.55,217
2.05,188
0.75,282
3.95,106
2.8,106
2.05,208
1.15,306
1.35,232
3.35,168
1.35,209
2.45,196
2.4,217
0.1,256
3.45,121
2.35,216
0.7,260
1.05,277
1.75,216
4.1,9
4.5,94
4.0,116
2.0,165
2.45,197
2.5,205
2.1,262
3.0,121
4.05,77
2.7,174
2.15,251
3.3,197
2.4,234
2.85,124
1.65,183
1.55,190
2.15,261
3.4,170
1.55,170
0.8,233
2.95,169
2.4,168
1.4,176
1.65,221
2.25,202
3.85,123
3.9,115
4.6,161
2.35,229
4.05,76
1.2,255
1.95,154
1.6,185
2.0,222
1.8,188
3.75,142
3.65,165
2.35,209
2.2,276
1.0,308
4.15,57
1.1,258
1.55,151
2.95,142
1.5,184
1.65,191
1.1,251
3.25,131
0.75,303
